"","location","year","tech_jobs","all_jobs","percentage","growth"
"385",90033,2012,207,18691,90.2946859903382,0.0278856349709813
"386",90033,2013,236,19978,84.6525423728814,-0.0624858877969909
"387",90033,2014,192,20303,105.744791666667,0.249162620549271
"388",90033,2015,226,20670,91.4601769911504,-0.135085751746004
"389",90033,2016,294,20801,70.7517006802721,-0.226420689223924
"390",90033,2017,383,20474,53.4569190600522,-0.244443334279344
"391",90034,2005,1205,8631,7.16265560165975,NA
"392",90034,2006,1397,9004,6.44523979957051,-0.100160588751887
"393",90034,2007,1168,9932,8.50342465753425,0.319334101130091
"394",90034,2008,1234,9315,7.54862236628849,-0.112284441821893
"395",90034,2009,1030,8208,7.96893203883495,0.0556803151822145
"396",90034,2010,953,8918,9.35781741867786,0.174287517207383
"397",90034,2011,1041,9677,9.29586935638809,-0.00661992636938213
"398",90034,2012,1083,10294,9.5050784856879,0.0225056012815028
"399",90034,2013,1023,11363,11.1075268817204,0.168588654838083
"400",90034,2014,1062,11674,10.9924670433145,-0.0103587269813662
"401",90034,2015,1169,11789,10.0846877673225,-0.0825819420167475
"402",90034,2016,1298,11943,9.20107858243451,-0.0876188936410258
"403",90034,2017,1417,12118,8.55187014820042,-0.0705578621481912
"404",90035,2005,3100,12853,4.14612903225806,NA
"405",90035,2006,3067,11264,3.67264427779589,-0.114199232773106
"406",90035,2007,3401,12193,3.58512202293443,-0.0238308554385742
"407",90035,2008,3371,12437,3.68940967072085,0.0290890092775875
"408",90035,2009,3559,12427,3.49171115481877,-0.053585406215802
"409",90035,2010,411,12450,30.2919708029197,7.67539422930645
"410",90035,2011,424,9978,23.5330188679245,-0.223126847010684
"411",90035,2012,452,10635,23.5287610619469,-0.000180929017289166
"412",90035,2013,393,11967,30.4503816793893,0.29417701166751
"413",90035,2014,3651,12210,3.3442892358258,-0.890172501906949
"414",90035,2015,3196,11724,3.66833541927409,0.0968953821269216
"415",90035,2016,3061,11499,3.75661548513558,0.0240654290765354
"416",90035,2017,3421,12130,3.54574685764396,-0.0561326088139688
"417",90036,2005,10164,26432,2.60055096418733,NA
"418",90036,2006,13954,30241,2.16719220295256,-0.166641133822268
"419",90036,2007,12533,29822,2.37947817761111,0.0979543828043181
"420",90036,2008,6591,24418,3.70474890001517,0.556958552876741
"421",90036,2009,5600,21791,3.89125,0.0503410905889097
"422",90036,2010,5487,22204,4.04665573172954,0.039937226271646
"423",90036,2011,5528,23283,4.21183068017366,0.0408176428622267
"424",90036,2012,5564,24267,4.36143062544932,0.0355189836998595
"425",90036,2013,5711,25664,4.49378392575731,0.0303463041543526
"426",90036,2014,6083,27557,4.53016603649515,0.0080960970395807
"427",90036,2015,5845,28511,4.87784431137725,0.0767473580617553
"428",90036,2016,5497,28900,5.25741313443697,0.0778148704283981
"429",90036,2017,6595,30732,4.65989385898408,-0.113652714780779
"430",90037,2005,192,5989,31.1927083333333,NA
"431",90037,2006,218,6129,28.1146788990826,-0.0986778512900562
"432",90037,2007,156,5892,37.7692307692308,0.34339897335492
"433",90037,2008,148,6264,42.3243243243243,0.120603291682722
"434",90037,2009,121,5865,48.4710743801653,0.145229726734429
"435",90037,2010,131,6732,51.3893129770992,0.0602057749751082
"436",90037,2011,85,6684,78.6352941176471,0.530187690049282
"437",90037,2012,110,6757,61.4272727272727,-0.218833306131332
"438",90037,2013,108,8278,76.6481481481482,0.247786931522317
"439",90037,2014,100,8729,87.29,0.138840299589273
"440",90037,2015,80,8470,105.875,0.212910986367282
"441",90037,2016,66,9265,140.378787878788,0.32589173911488
"442",90037,2017,38,10085,265.394736842105,0.89056153605817
"443",90038,2005,7008,14822,2.11501141552511,NA
"444",90038,2006,6139,13364,2.17690177553347,0.0292624236228975
"445",90038,2007,6072,13064,2.15151515151515,-0.011661814190997
"446",90038,2008,6205,13032,2.10024174053183,-0.0238313036964737
"447",90038,2009,5152,11925,2.3146350931677,0.102080321754573
"448",90038,2010,4784,12047,2.5181856187291,0.0879406547331074
"449",90038,2011,4982,12194,2.44761140104376,-0.028025820320965
"450",90038,2012,4970,12327,2.48028169014085,0.0133478251830155
"451",90038,2013,4722,12676,2.6844557390936,0.0823188953756155
"452",90038,2014,4892,13152,2.68847097301717,0.00149573482069121
"453",90038,2015,5153,13150,2.5519115078595,-0.050794472593623
"454",90038,2016,4925,13360,2.71269035532995,0.0630033004574317
"455",90038,2017,5240,13850,2.64312977099237,-0.0256426555286374
"456",90039,2005,580,9844,16.9724137931034,NA
"457",90039,2006,603,9677,16.0480928689884,-0.0544601926032848
"458",90039,2007,506,9132,18.0474308300395,0.124584146999466
"459",90039,2008,505,9260,18.3366336633663,0.0160245985176704
"460",90039,2009,504,8897,17.6527777777778,-0.0372945164386848
"461",90039,2010,459,8806,19.1851851851852,0.086808287437713
"462",90039,2011,484,9367,19.353305785124,0.0087630428539518
"463",90039,2012,568,9354,16.4683098591549,-0.149069929344402
"464",90039,2013,518,9824,18.965250965251,0.151620969452913
"465",90039,2014,563,10048,17.8472468916519,-0.0589501333595617
"466",90039,2015,598,10021,16.757525083612,-0.0610582581535053
"467",90039,2016,587,10135,17.2657580919932,0.0303286437493191
"468",90039,2017,432,9855,22.8125,0.321256783423779
"469",90041,2005,337,5787,17.1721068249258,NA
"470",90041,2006,469,5792,12.3496801705757,-0.280829062124761
"471",90041,2007,446,6077,13.6255605381166,0.103312826722493
"472",90041,2008,472,6054,12.8262711864407,-0.0586610253163501
"473",90041,2009,310,6015,19.4032258064516,0.512772147447169
"474",90041,2010,226,6545,28.9601769911504,0.492544450084229
"475",90041,2011,306,6500,21.2418300653595,-0.266515875512416
"476",90041,2012,369,6702,18.1626016260163,-0.144960600375234
"477",90041,2013,264,7549,28.594696969697,0.574372304061202
"478",90041,2014,414,7845,18.9492753623188,-0.337315048926722
"479",90041,2015,459,8394,18.2875816993464,-0.0349192066884118
"480",90041,2016,468,8636,18.4529914529915,0.00904492219717379
"481",90041,2017,507,8704,17.1676528599606,-0.0696547546941245
"482",90042,2005,114,2878,25.2456140350877,NA
"483",90042,2006,114,2905,25.4824561403509,0.00938151494093131
"484",90042,2007,98,2910,29.6938775510204,0.165267483929889
"485",90042,2008,144,3070,21.3194444444444,-0.282025582283314
"486",90042,2009,143,2818,19.7062937062937,-0.0756657023757999
"487",90042,2010,160,3726,23.2875,0.181729063165365
"488",90042,2011,161,3753,23.3105590062112,0.000990188135745917
"489",90042,2012,145,3789,26.1310344827586,0.120995617299264
"490",90042,2013,147,5006,34.0544217687075,0.303217512922298
"491",90042,2014,157,5012,31.9235668789809,-0.0625720473012004
"492",90042,2015,152,5269,34.6644736842105,0.0858584134918301
"493",90042,2016,148,5088,34.3783783783784,-0.00825327130128828
"494",90042,2017,165,5408,32.7757575757576,-0.0466171145416429
"495",90043,2005,36,3225,89.5833333333333,NA
"496",90043,2006,61,2749,45.0655737704918,-0.496942432329394
"497",90043,2007,96,3068,31.9583333333333,-0.290848187219595
"498",90043,2008,46,3779,82.1521739130435,1.57060257355025
"499",90043,2009,36,2981,82.8055555555556,0.00795330922348714
"500",90043,2010,46,3822,83.0869565217391,0.0033983343786006
"501",90043,2011,37,4006,108.27027027027,0.303095874524445
"502",90043,2012,28,3842,137.214285714286,0.267331146137936
"503",90043,2013,31,5088,164.129032258065,0.196151198132693
"504",90043,2014,34,6195,182.205882352941,0.110138041065482
"505",90043,2015,41,6177,150.658536585366,-0.173141203566999
"506",90043,2016,51,6210,121.764705882353,-0.191783561409022
"507",90043,2017,40,6562,164.05,0.347270531400966
"508",90044,2005,110,2820,25.6363636363636,NA
"509",90044,2006,100,2753,27.53,0.0738652482269504
"510",90044,2007,18,2702,150.111111111111,4.45263752673851
"511",90044,2008,31,2591,83.5806451612903,-0.443208137341516
"512",90044,2009,28,2449,87.4642857142857,0.0464657881678334
"513",90044,2010,43,3606,83.8604651162791,-0.0412033388093856
"514",90044,2011,28,3514,125.5,0.496533555185802
"515",90044,2012,19,3670,193.157894736842,0.539106730970853
"516",90044,2013,14,6022,430.142857142857,1.22689762553523
"517",90044,2014,0,6624,Inf,Inf
"518",90044,2015,0,6857,Inf,NA
"519",90044,2016,0,6583,Inf,NA
"520",90044,2017,0,6916,Inf,NA
"521",90045,2005,5153,67869,13.1707743062294,NA
"522",90045,2006,5540,67617,12.2052346570397,-0.0733092547742616
"523",90045,2007,4619,68241,14.7739770513098,0.210462352134173
"524",90045,2008,4642,68207,14.6934510986644,-0.00545052644699384
"525",90045,2009,3916,60238,15.3825331971399,0.0468972261076372
"526",90045,2010,3999,60098,15.0282570642661,-0.0230310657115789
"527",90045,2011,4501,61036,13.5605421017552,-0.0976636848993492
"528",90045,2012,4581,64178,14.0096048897621,0.033115400891589
"529",90045,2013,4588,64773,14.1179163034002,0.00773122543357818
"530",90045,2014,4355,64949,14.913662456946,0.0563642775920281
"531",90045,2015,4454,69681,15.6445891333633,0.0490105417450162
"532",90045,2016,4257,72401,17.0075170307728,0.0871181649956552
"533",90045,2017,4539,78318,17.2544613350958,0.0145197152456868
"534",90046,2005,1347,12172,9.03637713437268,NA
