"","GEOID","year","tech","info","prof","per","total"
"590",90278,2006,1051,222,829,6.37,16496
"591",90280,2006,324,0,324,1.8,17984
"592",90290,2006,152,53,99,14.99,1014
"593",90291,2006,1677,517,1160,24.94,6724
"594",90292,2006,2012,302,1710,15.65,12860
"595",90293,2006,264,15,249,27.05,976
"596",90294,2006,0,0,0,0,69
"597",90295,2006,0,0,0,0,3
"598",90301,2006,437,198,239,2.77,15795
"599",90302,2006,83,0,83,2.18,3805
"600",90303,2006,94,94,0,1.85,5082
"601",90304,2006,47,0,47,1.49,3155
"602",90305,2006,25,0,25,3.47,720
"603",90306,2006,0,0,0,0,380
"604",90307,2006,0,0,0,0,4
"605",90308,2006,0,0,0,0,14
"606",90309,2006,0,0,0,0,8
"607",90310,2006,0,0,0,0,23
"608",90311,2006,0,0,0,0,7
"609",90312,2006,0,0,0,0,13
"610",90401,2006,3794,1683,2111,16.93,22405
"611",90402,2006,147,41,106,10.01,1468
"612",90403,2006,916,175,741,11.07,8274
"613",90404,2006,8145,4072,4073,32.24,25267
"614",90405,2006,3678,941,2737,22.26,16526
"615",90406,2006,0,0,0,0,86
"616",90407,2006,0,0,0,0,987
"617",90408,2006,0,0,0,0,204
"618",90409,2006,0,0,0,0,11
"619",90410,2006,0,0,0,0,127
"620",90501,2006,2972,386,2586,11.74,25312
"621",90502,2006,1267,0,1267,9.11,13913
"622",90503,2006,2558,467,2091,9.04,28284
"623",90504,2006,521,65,456,6.25,8332
"624",90505,2006,2866,327,2539,9.07,31604
"625",90506,2006,0,0,0,0,1151
"626",90507,2006,0,0,0,0,74
"627",90508,2006,0,0,0,0,12
"628",90509,2006,51,0,51,0.89,5752
"629",90510,2006,0,0,0,0,61
"630",90601,2006,300,14,286,3.07,9778
"631",90602,2006,311,10,301,4.34,7161
"632",90603,2006,194,17,177,1.23,15771
"633",90604,2006,26,0,26,1.22,2125
"634",90605,2006,211,0,211,2.8,7531
"635",90606,2006,173,33,140,3.04,5697
"636",90607,2006,0,0,0,0,258
"637",90608,2006,0,0,0,0,1922
"638",90609,2006,0,0,0,0,10
"639",90610,2006,0,0,0,0,30
"640",90623,2006,89,0,89,1.63,5459
"641",90630,2006,2837,432,2405,12.14,23372
"642",90631,2006,421,113,308,2.66,15845
"643",90637,2006,0,0,0,0,290
"644",90638,2006,624,0,624,3.44,18156
"645",90639,2006,0,0,0,0,89
"646",90640,2006,565,180,385,2.46,22949
"647",90650,2006,600,188,412,2.7,22203
"648",90651,2006,0,0,0,0,110
