"","GEOID","NAME","variable","estimate","moe"
"330","01571","ZCTA5 01571","medincome",62567,6013
"331","01581","ZCTA5 01581","medincome",106915,7354
"332","01583","ZCTA5 01583","medincome",74020,4232
"333","01585","ZCTA5 01585","medincome",61298,12274
"334","01588","ZCTA5 01588","medincome",60429,10116
"335","01590","ZCTA5 01590","medincome",99692,10118
"336","01602","ZCTA5 01602","medincome",62709,4128
"337","01603","ZCTA5 01603","medincome",40967,4581
"338","01604","ZCTA5 01604","medincome",50426,2425
"339","01605","ZCTA5 01605","medincome",35446,3696
"340","01606","ZCTA5 01606","medincome",65163,5214
"341","01607","ZCTA5 01607","medincome",47068,9291
"342","01608","ZCTA5 01608","medincome",18843,5339
"343","01609","ZCTA5 01609","medincome",42863,3511
"344","01610","ZCTA5 01610","medincome",31182,2654
"345","01611","ZCTA5 01611","medincome",81971,22386
"346","01612","ZCTA5 01612","medincome",94135,11993
"347","01701","ZCTA5 01701","medincome",100788,7381
"348","01702","ZCTA5 01702","medincome",51137,3689
"349","01718","ZCTA5 01718","medincome",131484,62010
"350","01719","ZCTA5 01719","medincome",103556,7549
"351","01720","ZCTA5 01720","medincome",131413,6483
"352","01721","ZCTA5 01721","medincome",103700,8694
"353","01730","ZCTA5 01730","medincome",117688,15147
"354","01731","ZCTA5 01731","medincome",84333,13305
"355","01740","ZCTA5 01740","medincome",151023,10723
"356","01741","ZCTA5 01741","medincome",167400,26684
"357","01742","ZCTA5 01742","medincome",137991,14060
"358","01745","ZCTA5 01745","medincome",120766,11026
"359","01746","ZCTA5 01746","medincome",110295,5398
"360","01747","ZCTA5 01747","medincome",99792,16478
"361","01748","ZCTA5 01748","medincome",143190,8920
"362","01749","ZCTA5 01749","medincome",80574,6345
"363","01752","ZCTA5 01752","medincome",72222,3947
"364","01754","ZCTA5 01754","medincome",90134,12675
"365","01756","ZCTA5 01756","medincome",121298,14656
"366","01757","ZCTA5 01757","medincome",73117,5809
"367","01760","ZCTA5 01760","medincome",104600,4256
"368","01770","ZCTA5 01770","medincome",158250,18949
"369","01772","ZCTA5 01772","medincome",147216,6894
